Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,22pf,C_0805_2012Metric,-31.1,-32.25,45,bottom
C1,22pf,C_0805_2012Metric,-36.15,-37.15,-135,bottom
C2,1uf,C_0805_2012Metric,-20.55,-37.65,135,bottom
C3,.1uf / 100nf,C_0805_2012Metric,-27.85,-20.35,90,bottom
C4,.1uf / 100nf,C_0805_2012Metric,-23.65,-20.35,90,bottom
C5,10uf,C_0805_2012Metric,-25.75,-20.35,90,bottom
D1,BAV70_Small,SOT-23,-33.64,-12.43,-90,bottom
D203,BAV70_Small,SOT-23,-55.9,-5.7,-90,bottom
D221,BAV70_Small,SOT-23,-46.7,-29.35,90,bottom
D405,BAV70_Small,SOT-23,-39.05,-10.25,180,bottom
D607,BAV70_Small,SOT-23,-39.05,-6.25,180,bottom
D809,BAV70_Small,SOT-23,-35.36,-6.25,0,bottom
D1011,BAV70_Small,SOT-23,-37.25,-21.2,90,bottom
D1213,BAV70_Small,SOT-23,-63.3,-21.25,-90,bottom
D1415,BAV70_Small,SOT-23,-55.9,-21.25,-90,bottom
D1617,BAV70_Small,SOT-23,-52.25,-21.25,-90,bottom
D1819,BAV70_Small,SOT-23,-48.6,-21.25,-90,bottom
D2021,BAV70_Small,SOT-23,-54.15,-43.3,-90,bottom
D2223,BAV70_Small,SOT-23,-50.55,-43.3,-90,bottom
D2425,BAV70_Small,SOT-23,-47.05,-39.3,-90,bottom
D2627,BAV70_Small,SOT-23,-43.3,-39.3,-90,bottom
D2829,BAV70_Small,SOT-23,-42.2,-35.1,180,bottom
D3031,BAV70_Small,SOT-23,-37.4,-60.4,180,bottom
D3233,BAV70_Small,SOT-23,-37.4,-56.8,180,bottom
D3435,BAV70_Small,SOT-23,-37.4,-53.2,180,bottom
D3637,BAV70_Small,SOT-23,-42.85,-51.95,90,bottom
D4041,BAV70_Small,SOT-23,-37.4,-74.95,180,bottom
D4243,BAV70_Small,SOT-23,-37.4,-71.3,180,bottom
D10011,BAV70_Small,SOT-23,-33.65,-17.7,-90,bottom
D12013,BAV70_Small,SOT-23,-37.25,-17.7,-90,bottom
D39310,BAV70_Small,SOT-23,-46.6,-51.65,90,bottom
D49410,BAV70_Small,SOT-23,-37.4,-67.65,180,bottom
D110111,BAV70_Small,SOT-23,-44.95,-21.25,-90,bottom
D112113,BAV70_Small,SOT-23,-41.15,-20.3,-90,bottom
D210211,BAV70_Small,SOT-23,-42.2,-31.45,180,bottom
D310311,BAV70_Small,SOT-23,-50.55,-50.2,90,bottom
D313314,BAV70_Small,SOT-23,-54.15,-50.2,90,bottom
D411413,BAV70_Small,SOT-23,-37.4,-64.05,180,bottom
F0,Polyfuse,Fuse_1206_3216Metric,-24.25,-13.45,-90,bottom
G***,LOGO,qmk,-105.269694,-81.113251,180,bottom
G***,LOGO,vial_logo,-115.4656,-87.838229,180,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-18.565,-3.035,0,bottom
J2,Conn_01x04,Aio3_jst,-14.15,-18.2,-90,bottom
R0,10k,R_0805_2012Metric,-25,-49.25,135,bottom
R1,22,R_0805_2012Metric,-19,-20.35,-90,bottom
R2,22,R_0805_2012Metric,-21.1,-20.35,-90,bottom
R3,5.1k,R_0805_2012Metric,-13.9,-13.05,180,bottom
R4,5.1k,R_0805_2012Metric,-21.3,-12.95,-90,bottom
R5,10k,R_0805_2012Metric,-22,-36.2,135,bottom
SW0,SW_PUSH,SW_SPST_TL3342,-16.2,-35.05,-135,bottom
U0,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,-28.575,-40.48125,-135,bottom
U1,SRV05-4,SOT-23-6,-17.97548,-12.2165,180,bottom
Y0,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-33.75,-34.75,-45,bottom
