Ref,Val,Package,PosX,PosY,Rot,Side
"K0,0","KEYSW","keyswitch_cherrymx_alps_combo_fixed",9.525000,-9.525000,0.000000,top
"K0,1","KEYSW","keyswitch_cherrymx_alps_combo_fixed",28.575000,-9.525000,0.000000,top
"K0,2","KEYSW","keyswitch_cherrymx_alps_combo_fixed",47.625000,-9.525000,0.000000,top
"K0,3","KEYSW","keyswitch_cherrymx_alps_combo_fixed",66.675000,-9.525000,0.000000,top
"K0,4","KEYSW","keyswitch_cherrymx_alps_combo_fixed",85.725000,-9.525000,0.000000,top
"K0,5","KEYSW","keyswitch_cherrymx_alps_combo_fixed",104.775000,-9.525000,0.000000,top
"K0,6","KEYSW","keyswitch_cherrymx_alps_combo_fixed",123.825000,-9.525000,0.000000,top
"K0,7","KEYSW","keyswitch_cherrymx_alps_combo_fixed",142.875000,-9.525000,0.000000,top
"K0,8","KEYSW","keyswitch_cherrymx_alps_combo_fixed",161.925000,-9.525000,0.000000,top
"K0,9","KEYSW","keyswitch_cherrymx_alps_combo_fixed",180.975000,-9.525000,0.000000,top
"K0,10","KEYSW","keyswitch_cherrymx_alps_combo_fixed",200.025000,-9.525000,0.000000,top
"K0,11","KEYSW","keyswitch_cherrymx_alps_combo_fixed",219.075000,-9.525000,0.000000,top
"K0,12","KEYSW","keyswitch_cherrymx_alps_combo_fixed",238.125000,-9.525000,0.000000,top
"K0,13","KEYSW","keyswitch_cherrymx_alps_combo_fixed",266.700000,-9.525000,0.000000,top
"K0,13_1","KEYSW","keyswitch_cherrymx_alps_combo_fixed",257.175000,-9.525000,0.000000,top
"K0,14","KEYSW","keyswitch_cherrymx_alps_combo_fixed",276.225000,-9.525000,0.000000,top
"K1,0","KEYSW","keyswitch_cherrymx_alps_combo_fixed",14.287500,-28.575000,0.000000,top
"K1,1","KEYSW","keyswitch_cherrymx_alps_combo_fixed",38.100000,-28.575000,0.000000,top
"K1,2","KEYSW","keyswitch_cherrymx_alps_combo_fixed",57.150000,-28.575000,0.000000,top
"K1,3","KEYSW","keyswitch_cherrymx_alps_combo_fixed",76.200000,-28.575000,0.000000,top
"K1,4","KEYSW","keyswitch_cherrymx_alps_combo_fixed",95.250000,-28.575000,0.000000,top
"K1,5","KEYSW","keyswitch_cherrymx_alps_combo_fixed",114.300000,-28.575000,0.000000,top
"K1,6","KEYSW","keyswitch_cherrymx_alps_combo_fixed",133.350000,-28.575000,0.000000,top
"K1,7","KEYSW","keyswitch_cherrymx_alps_combo_fixed",152.400000,-28.575000,0.000000,top
